,date,title,Zürich,Bern,Luzern,Uri,Schwyz,Obwalden,Nidwalden,Glarus,Zug,Freiburg,Solothurn,Basel-Stadt,Basel-Landschaft,Schaffhausen,Appenzell A.-Rh.,Appenzell I.-Rh.,St. Gallen,Graubünden,Aargau,Thurgau,Tessin,Waadt,Wallis,Neuenburg,Genf,Jura
576,30.11.2014,Volksinitiative vom 19.10.2012 'Schluss mit den Steuerprivilegien für Millionäre (Abschaffung der Pauschalbesteuerung)',0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
577,30.11.2014,Volksinitiative vom 02.11.2012 'Stopp der Ãberbevölkerung â zur Sicherung der natürlichen Lebensgrundlagen',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578,30.11.2014,Volksinitiative vom 20.03.2013 'Rettet unser Schweizer Gold (Gold-Initiative)',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579,08.03.2015,Volksinitiative vom 05.11.2012 'Familien stärken! Steuerfreie Kinder- und Ausbildungszulagen',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,08.03.2015,Volksinitiative vom 17.12.2012 'Energie- statt Mehrwertsteuer' ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
581,14.06.2015,Bundesbeschluss vom 12.12.2014 über die Ãnderung der Verfassungsbestimmung zur Fortpflanzungsmedizin und Gentechnologie im Humanbereich,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
582,14.06.2015,Volksinitiative vom 20.01.2012 'Stipendieninitiative',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
583,14.06.2015,Volksinitiative vom 15.02.2013 'Millionen-Erbschaften besteuern für unsere AHV (Erbschaftssteuerreform)',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
584,14.06.2015,Ãnderung vom 26.09.2014 des Bundesgesetzes über Radio und Fernsehen (RTVG),0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1
585,28.02.2016,Volksinitiative vom 05.11.2012 'Für Ehe und Familie â gegen die Heiratsstrafe',0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1
